Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
1. Pendidik & Tenaga Kependidikan - Sekolah Nonformal Paket B,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Ilmu Pendidikan, Pendidikan Luar Sekolah, sesuai bidang studi dan posisi tingkatan pendidikan
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",5
2. Pendidik & Tenaga Kependidikan - Sekolah Formal SD,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Ilmu Pendidikan sesuai bidang studi dan posisi tingkatan pendidikan
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",5
Programmer,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer, dan jurusan lainnya yang terkait.
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",5
 Content Creator,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Komunikasi, Desain Komunikasi Visual, Broadcasting, Psikologi, dan jurusan lainnya yang terkait 
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",5
Marketing & Communication,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Ilmu Komunikasi, Business Digital, atau jurusan lainnya yang terkait
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",5
Manajemen SDM,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan ilmu Psikologi, Manajemen SDM, ilmu Hukum
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan bekerja dalam tim
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",1
4. Pendidik & Tenaga Kependidikan - Sekolah Nonformal Paket C,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Ilmu Pendidikan, Pendidikan Luar Sekolah, sesuai bidang studi dan posisi tingkatan pendidikan
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",5
5. Pendidik & Tenaga Kependidikan - Sekolah Khusus Kak Seto,Manajemen Tenaga Kependidikan dan Pembelajaran Sekolah Kak Seto,Sekolah Kak Seto Grup,Kota Tangerang Selatan,"- Peserta magang perguruan tinggi aktif (sampai dengan bulan Juli 2023) yang sedang menempuh minimal semester 5 dari jurusan Ilmu Pendidikan, Pendidikan Luar Sekolah, sesuai bidang studi dan posisi tingkatan pendidikan
- Bersedia untuk mengikuti fulltime magang dengan konversi 20 SKS (Februari - Juni 2023)
- Dapat berkomunikasi dan beradaptasi baik dengan siswa/anak
- Proaktif, kreatif, komitmen, dan menjadi representatif dengan menjaga nama baik sekolah",6
"Tech Internship (Engineering, Data & Research)","Tech Internship (Engineering, Data & Research) -  GoTo Internship ",GoTo,Kota Jakarta Selatan,"- Third/final year student from an Indonesian university, with a Computer  Science/Informatics Engineering background (or related) for software engineering, 
OR any other major for product & research.

- Solid understanding in either one of the following: 
a) algorithm, data structure, and basic programming languages; 
b) visual design and design thinking framework; or 
c) statistical research, basic SQL and analytical thinking

- An agile mindset and strong inclination to learn and absorb new information 

- Ability to work equally well within a team and independently

- Excellent communication skills in English and Indonesian (written & verbal)

- Past participation in tech-related activities outside academia, including but not limited to: open source projects, Hackathon, Competitive Programming, Olympiads, technology communities is a big plus",40
Corporate Internship,Corporate Internship  -  GoTo  Internship Merdeka,GoTo,Kota Jakarta Selatan,"- Third/final year student from an Indonesian university
- Strong project management and analytical thinking skills (well-organized, knowledgeable, and able to multitask)
- Excellent communication skills in English and Indonesian (written & verbal)
- An eagerness to learn and ability to absorb and understand new information quickly",35
Commercial Intern,TEMAS Group Internship Program,TEMAS,Jakarta & Surabaya,"Jurusan: Semua Jurusan
Jenjang: S1
Semester: Minimal semester 7
Bersedia ditempatkan di Perak Barat (Surabaya)

Kriteria hard skills:
- 

Kriteria soft skills:
- Interpersonal Skill
- Communication & Negotiation
- Complain Handling
- Relationship management skill
",2
Operation Intern,TEMAS Group Internship Program,TEMAS,Jakarta & Surabaya,"Jurusan: Teknik Industri atau Perkapalan
Jenjang: S1
Semester: Minimal semester 6
Bersedia ditempatkan di Jakarta (Sunter)

Kriteria hard skills:
- Pengetahuan dasar pelayaran ataupun logistik

Kriteria soft skills:
- Problem solving
- Komunikasi
- Analitis
- Attention to detail
- Perencanaan
- Bekerja dalam tim
",2
IT Developer Intern,TEMAS Group Internship Program,TEMAS,Jakarta & Surabaya,"Jurusan: Komputer/Informatika/Telekomunikasi
Jenjang: D4/S1
Semester: Minimal semester 6
Bersedia ditempatkan di Jakarta (Sunter)

Kriteria hard skills:
- Pengetahuan dasar mengenai pemrograman web

Kriteria soft skills:
- Problem solving
- Komunikasi
- Analitis
- Bekerja dalam tim
- Attention to detail",1
Finance & Accounting Inter,TEMAS Group Internship Program,TEMAS,Jakarta & Surabaya,"Jurusan: Business / Accounting / Economy
Jenjang: S1
Semester: Minimal semester 7
Bersedia ditempatkan di Perak Barat, Surabaya

Kriteria hard skills:
- Pengetahuandasarfinance dan accounting

Kriteria soft skills:
- Fast Learner
- Problem solving
- Komunikasi
- Analitis
- Attention to detail
- Systematical Thinking
",2
IT Product Analyst Intern,TEMAS Group Internship Program,TEMAS,Jakarta & Surabaya,"Jurusan: Komputer/Informatika/Telekomunikasi
Jenjang: D4/S1
Semester: Minimal semester 6
Bersedia ditempatkan di Jakarta (Sunter)

Kriteria hard skills:
- Pengetahuan dasar mengenai pemrograman web

Kriteria soft skills:
- Problem solving
- Komunikasi
- Analitis
- Bekerja dalam tim
- Attention to detail
",1
IT Infrastructure Intern,TEMAS Group Internship Program,TEMAS,Jakarta & Surabaya,"Jurusan: Komputer/Informatika/Telekomunikasi
Jenjang: D4/S1
Semester: Minimal semester 6
Bersedia ditempatkan di Jakarta (Sunter)

Kriteria hard skills:
- Pengetahuan dasar mengenai IT Infrastructure

Kriteria soft skills:
- Problem solving
- Komunikasi
- Analitis
- Bekerja dalam tim
- Attention to detail
",1
Data Team,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa aktif minimal semester 5 - 7
Memiliki IPK >=3.0
Berasal dari Jurusan IT, atau program studi yang setara;
Familiar dengan bahasa pemrograman seperti :: Ruby, Java, Kotlin, C++, reactjs, etc
Mengerti dalam penggunaan SQL dan pengalaman menggunakan salah satu dari dari bahasa pemrograman berikut: PostgreSQL, MySQL, Oracle
Berpengalaman dalam menggunakan kerangka MVC : Rails, Spring, Play! (CodeIgniter tidak dihitung)
Familiar dengan HTML, Python
Memiliki laptop dengan spesifikasi minimal dari 2018 Intel i5 dengan 16 GB RAM
",6
Front End Engineer,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Berasal dari Jurusan IT, atau program studi yang setara, semester 5 - 7
Familiar dengan bahasa pemrograman yang biasa digunakan di bidang front end seperti JavaScript, CSS, dan HTML
Memiliki rasa ingin tahu yang kuat dan semangat belajar yang tinggi
Nilai plus jika pernah mempelajari atau menggunakan React.js",2
Video Editor,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
- Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
- Memiliki keterampilan komunikasi dan menulis yang sangat baik.
- Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
- Familiar dan bisa mengoperasikan aplikasi adobe
",6
Anti Piracy,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas  di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
Fasih menggunakan sosial media ",20
Business Intelligence,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa perguruan tinggi aktif yang minimal semester 5 - 7
- Diutamakan jurusan Information Technology, Matematika, Statistik, Teknik Industri
- Memiliki minat untuk berkarir di data and analytics related field.
- Memiliki aplikasi mobile Vidio di smartphone nya
- Mengerti dalam penggunaan SQL dan pengalaman menggunakan salah satu dari dari bahasa pemrograman berikut: PostgreSQL, MySQL, Oracle
",3
EMTEK Digital - Marketing Business Development,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Psikologi, atau  jurusan yang terkait dengan GPA >=3.0, semester 5-7
Memiliki kemampuan dalam mass media communication dan business development (termasuk Google deck ecosystem, copywriting, business majoring, social media exp, website management, corporate comm exp, event management).
Memiliki latar belakang pendidikan dalam Fikom, Fisip, Bizdev, Management.
",4
Product Marketing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
- Preferably punya experience internship di Product Marketing, Brand Marketing, Marketing Strategy or any type of Marketing
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",1
UX Researcher,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa perguruan tinggi aktif minimal semester 5 - 7
- Berasal dari Jurusan Psikologi, Komunikasi, atau Sosial Studi 
- Memiliki pemahaman mengenai kuantitatif, behavioural analysis dan konsep statistik
- Kemampuan untuk interview yang baik
- Mampu berkomunikasi dengan baik dan bekerja dalam kelompo
",3
EMTEK Digital - Package,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Psikologi, atau  jurusan yang terkait dengan GPA >=3.0, semester 5-7
Komunikasi yang baik dan keahlian untuk membangun hubungan.
Kerjasama tim yang baik.
Keahlian manajemen waktu dan organisasi.
Memperhatikan detail atau rincian. Proaktif dan berinisiatif, memperkirakan apa yang perlu dilakukan dan melakukan hal tersebut.
Advance in Microsoft Office seperti Excel, Word dan PPT.
Diutamakan yang berasal dari fakultas ekonomi, akuntansi, matematika atau statistika.

",2
EMTEK Digital - Creative Planner,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Ilmu cm Komunikasi, Management atau jurusan yang terkait dengan GPA >=3.0, semester 5-7
Memiliki latar belakang pendidikan dalam Marketing Communication atau Mass Communication.
Memiliki basic knowledge dalam power point atau G-slide.
Tidak sedang dalam menyelesaikan tugas akhir atau skripsi.
Komunikatif, aktif, resourceful.
Memiliki hobi.
",6
Care and Responder ,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa sedang menyelesaikan studi diploma (D3) atau Sarjana dari Jurusan Bisnis, Pemasaran, Ilmu Komunikasi, Media atau jurusan terkait dengan IP GPA >=3.0, minimal semester 5 - 7
Memiliki ketertarikan yang besar pada dunia Olahraga, khususnya pada Sepak Bola
Diutamakan orang yang detail
Mampu bertindak cepat saat menghadapi masalah (mengacu pada SOP)
Memiliki keterampilan kerja tim yang baik dalam berkomunikasi, mendengarkan, dan bisa diandalkan",8
SEO,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa yang sedang menyelesaikan studi diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Bisnis, Pemasaran, atau jurusan terkait dengan IP GPA >=3.0, minimal semester 5 - 7
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah dengan baik
",7
Finance & Accounting,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa Diploma atau Sarjana dari jurusan Keuangan atau Akuntansi minimal semester 5 - 7
\Mampu bekerja dalam tim atau individu dengan tenggat waktu yang cepat
Memiliki kemampuan yang fokus terhadap hal-hal yang detail",2
Content Live Stream,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas  di indonesia dari Jurusan Penyiaran, Jurnalistik dan TV, Ilmu Komunikasi, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",8
Content Marketing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa sedang menyelesaikan studi diploma (D3) atau Sarjana dari Jurusan Bisnis, Pemasaran, Ilmu Komunikasi, Media atau jurusan terkait dengan IP GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah dengan baik",3
EMTEK Digital - Suply Designer ,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Psikologi, atau  jurusan yang terkait dengan GPA >=3.0, semester 5-7
Komunikasi yang baik dan keahlian untuk membangun hubungan.
Kerjasama tim yang baik.
Keahlian manajemen waktu dan organisasi.
Memperhatikan detail atau rincian. Proaktif dan berinisiatif, memperkirakan apa yang perlu dilakukan dan melakukan hal tersebut.
Advance in Microsoft Office seperti Excel, Word dan PPT.
Diutamakan yang berasal dari fakultas ekonomi, akuntansi, matematika atau statistika.
",1
HR,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa  yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Psikologi, atau  jurusan yang terkait dengan GPA >=3.0, semester 5 - 7
Memiliki kemampuan berkomunikasi secara verbal dan tertulis yang baik serta dapat menyelesaikan masalah dengan baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",4
EMTEK Digital - Copywriter Supply,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"
Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
Memiliki keterampilan komunikasi dan menulis yang sangat baik.
Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
Familiar dan bisa mengoperasikan aplikasi adobe

",2
Content Taxonomy,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah",20
Business Development,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Penyiaran, Jurnalistik dan TV, Ilmu Komunikasi, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",7
EMTEK Digital - Project Manager,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas dengan Jurusan Bisnis, Psikologi, atau  jurusan yang terkait dengan GPA >=3.0, semester 5-7
Komunikasi yang baik dan keahlian untuk membangun hubungan.
Kerjasama tim yang baik.
Keahlian manajemen waktu dan organisasi.
Memperhatikan detail atau rincian. Proaktif dan berinisiatif, memperkirakan apa yang perlu dilakukan dan melakukan hal tersebut.
Advance in Microsoft Office seperti Excel, Word dan PPT.
Diutamakan yang berasal dari fakultas ekonomi, akuntansi, matematika atau statistika.
",2
Content SVOD,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",4
Motion Graphic,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
Memiliki keterampilan komunikasi dan menulis yang sangat baik.
Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
Familiar dan bisa mengoperasikan aplikasi adobe
",3
Copywriter,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
Memiliki keterampilan komunikasi dan menulis yang sangat baik.
Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
Familiar dan bisa mengoperasikan aplikasi adobe
",1
EMTEK Digital - Vidio Solution Executive & Commercial Executive,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Ilmu Komunikasi, Management atau jurusan yang terkait dengan GPA >=3.0, semester 5-7
Memiliki background dalam Video Editing 
Mampu menguasai teknik editing level menengah menggunakan adobe premiere
Tidak sedang dalam menyelesaikan tugas akhir atau skripsi.
Komunikatif, aktif, resourceful.
Memiliki hobi
",4
Gamification Product Marketing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",1
EMTEK Digital - Video Editor,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Ilmu Komunikasi, Management atau jurusan yang terkait dengan GPA >=3.0, semester 5-7
Memiliki background dalam Video Editing 
Mampu menguasai teknik editing level menengah menggunakan adobe premiere
Tidak sedang dalam menyelesaikan tugas akhir atau skripsi.
Komunikatif, aktif, resourceful.
Memiliki hobi
",1
QC Edit,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah

",10
SVOD Traffic,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"Mahasiswa yang sedang menyelesaikan studi Diploma (D3) atau Sarjana dari universitas terkemuka di indonesia dari Jurusan Bisnis, Pemasaran, ataupun  jurusan yang terkait dengan  GPA >=3.0, minimal semester 5 - 7
Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah dengan baik
Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah
",5
Performance Marketing,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa sedang menyelesaikan studi diploma (D3) atau Sarjana dari universitas di indonesia dari Jurusan Bisnis, Pemasaran, atau jurusan terkait dengan IP GPA >=3.0, semester 5 - 7
- Memiliki kemampuan yang bagus untuk berpikir kreatif, strategis, serta mengidentifikasi dan menyelesaikan masalah
- Memiliki kemampuan komunikasi verbal dan tertulis yang sangat baik
- Mampu bekerja sama dalam tim ataupun bekerja secara mandiri
- Memiliki manajemen waktu yang bagus dan mampu menganalisis masalah dengan baik

",1
Graphic Designer,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
- Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
- Memiliki keterampilan komunikasi dan menulis yang sangat baik.
- Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
- Familiar dan bisa mengoperasikan aplikasi adobe
",11
Gamification Graphic Design,Peningkatan Kualitas Product Dari Segi Product Management Dan Design Dari Aplikasi Vidio,Vidio,Kota Jakarta Pusat,"- Mahasiswa dari lulusan Diploma, Gelar Sarjana Seni / Desain / Multimedia Kreatif / Jurnalisme / Penyiaran minimal semester 5 - 7
- Memiliki ide kreatif serta, mampu bekerja dalam tenggat waktu yang ketat.
- Memiliki keterampilan komunikasi dan menulis yang sangat baik.
- Berfokus terhadap hal-hal yang detail dan bertanggung jawab.
- Familiar dan bisa mengoperasikan aplikasi adobe
",1
